session_id,channel,method,bp,bp_x,warning,power
ID02_02,smo2_dom,raw,2,1057.6418193428972,NA,276.27363655714953
ID02_02,smo2_dom,mean,1,222.79604905466795,NA,222.79604905466795
ID02_02,smo2_dom,mean,2,327.4915682197875,NA,327.4915682197875
ID02_02,smo2_dom,slope,1,NA,NA,NA
ID02_02,smo2_dom,slope,2,NA,NA,NA
ID02_02,smo2_dom,ratio,1,NA,NA,NA
ID02_02,smo2_dom,ratio,2,NA,NA,NA
ID02_02,smo2_dom,Log-log,1,210.9,NA,210.9
ID02_02,smo2_dom,Dmax,2,213.39830600585415,NA,213.39830600585415
ID02_02,smo2_dom,ModDmax,2,344.10493030664486,NA,344.10493030664486
ID02_02,smo2_dom,Log-log.ratio,1,226.5,NA,226.5
ID02_02,smo2_dom,Dmax.ratio,2,229.36418362562353,NA,229.36418362562353
ID02_02,smo2_dom,ModDmax.ratio,2,360.4402780090674,NA,360.4402780090674
ID02_02,smo2_dom,poly,1,300.01071500140444,NA,300.01071500140444
ID02_02,smo2_dom,poly,2,NA,NA,NA
ID02_02,smo2_ndom,raw,1,588.8195266528542,NA,198.1365877754757
ID02_02,smo2_ndom,raw,2,1163.6850866623233,NA,293.9475144437206
ID02_02,smo2_ndom,mean,1,200.0001,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,200.0001
ID02_02,smo2_ndom,mean,2,349.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,349.9999
ID02_02,smo2_ndom,slope,1,NA,NA,NA
ID02_02,smo2_ndom,slope,2,NA,NA,NA
ID02_02,smo2_ndom,ratio,1,199.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,199.9999
ID02_02,smo2_ndom,ratio,2,300.0001,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,300.0001
ID02_02,smo2_ndom,Log-log,1,225,NA,225
ID02_02,smo2_ndom,Dmax,2,219.86805772786684,NA,219.86805772786684
ID02_02,smo2_ndom,ModDmax,2,348.95851969590666,NA,348.95851969590666
ID02_02,smo2_ndom,Log-log.ratio,1,240.4,NA,240.4
ID02_02,smo2_ndom,Dmax.ratio,2,240.3614893219347,NA,240.3614893219347
ID02_02,smo2_ndom,ModDmax.ratio,2,281.69210258043563,NA,281.69210258043563
ID02_02,smo2_ndom,poly,1,134.13248880824827,NA,134.13248880824827
ID02_02,smo2_ndom,poly,2,309.5745917178737,NA,309.5745917178737
ID02_02,smo2_avg,raw,1,577.7557696356246,NA,196.2926282726041
ID02_02,smo2_avg,raw,2,1114.552959987687,NA,285.7588266646145
ID02_02,smo2_avg,mean,1,225.6555419455756,NA,225.6555419455756
ID02_02,smo2_avg,mean,2,335.2838205739437,NA,335.2838205739437
ID02_02,smo2_avg,slope,1,199.9999,NaNs produced,199.9999
ID02_02,smo2_avg,slope,2,299.9999,NaNs produced,299.9999
ID02_02,smo2_avg,ratio,1,NA,NA,NA
ID02_02,smo2_avg,ratio,2,NA,NA,NA
ID02_02,smo2_avg,Log-log,1,218.1,NA,218.1
ID02_02,smo2_avg,Dmax,2,216.7518896762293,NA,216.7518896762293
ID02_02,smo2_avg,ModDmax,2,346.4949139597092,NA,346.4949139597092
ID02_02,smo2_avg,Log-log.ratio,1,234.4,NA,234.4
ID02_02,smo2_avg,Dmax.ratio,2,234.98028075070485,NA,234.98028075070485
ID02_02,smo2_avg,ModDmax.ratio,2,369.94826402893506,NA,369.94826402893506
ID02_02,smo2_avg,poly,1,117.98521916014063,NA,117.98521916014063
ID02_02,smo2_avg,poly,2,305.3399635987521,NA,305.3399635987521
ID02_03,smo2_dom,raw,1,870.6938281390264,NA,245.11563802317107
ID02_03,smo2_dom,raw,2,1540.348908645085,NA,356.7248181075141
ID02_03,smo2_dom,mean,1,199.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,199.9999
ID02_03,smo2_dom,mean,2,300.0001,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,300.0001
ID02_03,smo2_dom,slope,1,199.92063417601648,NA,199.92063417601648
ID02_03,smo2_dom,slope,2,303.1717447536617,NA,303.1717447536617
ID02_03,smo2_dom,ratio,1,199.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,199.9999
ID02_03,smo2_dom,ratio,2,299.9999,Breakpoint estimate(s) outdistanced to allow finite estimates and st.errs,299.9999
ID02_03,smo2_dom,Log-log,1,200,NA,200
